id,en,chs,max_rarity,flower_id,flower_en,flower_chs,plume_id,plume_en,plume_chs,sands_id,sands_en,sands_chs,goblet_id,goblet_en,goblet_chs,circlet_id,circlet_en,circlet_chs,two_pc,four_pc,mona_format
emblem_of_severed_fate,Emblem of Severed Fate,绝缘之旗印,5,magnificent_tsuba,Magnificent Tsuba,明威之镡,sundered_feather,Sundered Feather,切落之羽,storm_cage,Storm Cage,雷云之笼,scarlet_vessel,Scarlet Vessel,绯花之壶,ornate_kabuto,Ornate Kabuto,华饰之兜,元素充能效率提高20%。,基于元素充能效率的25%，提高元素爆发造成的伤害。至多通过这种方式获得75%提升。,emblemOfSeveredFate
flower_of_paradise_lost,Flower of Paradise Lost,乐园遗落之花,5,aykhanoums_myriad,Ay-Khanoum's Myriad,月女的华彩,wilting_feast,Wilting Feast,谢落的筵席,a_moment_congealed,A Moment Congealed,凝结的时刻,secretkeepers_magic_bottle,Secret-Keeper's Magic Bottle,守秘的魔瓶,amethyst_crown,Amethyst Crown,紫晶的花冠,元素精通提高80点。,装备者绽放、超绽放、烈绽放反应造成的伤害提升40%。此外，装备者触发绽放、超绽放、烈绽放后，上述效果带来的加成提升25%，该效果持续10秒，至多叠加4次，每1秒至多触发一次。装备者处于队伍后台时依然能触发该效果。,FlowerOfParadiseLost
gambler,Gambler,赌徒,4,gamblers_brooch,Gambler's Brooch,赌徒的胸花,gamblers_feather_accessory,Gambler's Feather Accessory,赌徒的羽饰,gamblers_pocket_watch,Gambler's Pocket Watch,赌徒的怀表,gamblers_dice_cup,Gambler's Dice Cup,赌徒的骰盅,gamblers_earrings,Gambler's Earrings,赌徒的耳环,元素战技造成的伤害提升20%。,击败敌人时，有100%概率清除元素战技的冷却时间。该效果每15秒至多触发一次。,gambler
gilded_dreams,Gilded Dreams,饰金之梦,5,dreaming_steelbloom,Dreaming Steelbloom,梦中的铁花,feather_of_judgment,Feather of Judgment,裁断的翎羽,the_sunken_years,The Sunken Years,沉金的岁月,honeyed_final_feast,Honeyed Final Feast,如蜜的终宴,shadow_of_the_sand_king,Shadow of the Sand King,沙王的投影,元素精通提高80点。,触发元素反应后的8秒内，会根据队伍内其他角色的元素类型，使装备者获得强化：队伍中每存在1个和装备者同类元素的角色，攻击力提升14%；每存在1个和装备者不同元素类型的角色，元素精通提升50点。上述每类效果至多计算3个角色。该效果每8秒至多触发一次。装备者处于队伍后台时，依然能触发该效果。,GildedDreams
gladiators_finale,Gladiator's Finale,角斗士的终幕礼,5,gladiators_nostalgia,Gladiator's Nostalgia,角斗士的留恋,gladiators_destiny,Gladiator's Destiny,角斗士的归宿,gladiators_longing,Gladiator's Longing,角斗士的希冀,gladiators_intoxication,Gladiator's Intoxication,角斗士的酣醉,gladiators_triumphus,Gladiator's Triumphus,角斗士的凯旋,攻击力提高18%。,装备该圣遗物套装的角色为单手剑、双手剑、长柄武器角色时，角色普通攻击造成的伤害提高35%。,gladiatorFinale
heart_of_depth,Heart of Depth,沉沦之心,5,gilded_corsage,Gilded Corsage,饰金胸花,gust_of_nostalgia,Gust of Nostalgia,追忆之风,copper_compass,Copper Compass,坚铜罗盘,goblet_of_thundering_deep,Goblet of Thundering Deep,沉波之盏,winestained_tricorne,Wine-Stained Tricorne,酒渍船帽,获得15%水元素伤害加成。,施放元素战技后的15秒内，普通攻击与重击造成的伤害提高30%。,heartOfDepth
husk_of_opulent_dreams,Husk of Opulent Dreams,华馆梦醒形骸记,5,bloom_times,Bloom Times,荣花之期,plume_of_luxury,Plume of Luxury,华馆之羽,song_of_life,Song of Life,众生之谣,calabash_of_awakening,Calabash of Awakening,梦醒之瓢,skeletal_hat,Skeletal Hat,形骸之笠,防御力提高30%。,装备此圣遗物套装的角色在以下情况下，将获得「问答」效果：在场上用岩元素攻击命中敌人后获得一层，每0.3秒至多触发一次；在队伍后台中，每3秒获得一层。问答至多叠加4层，每层能提供6%防御力与6%岩元素伤害加成。每6秒，若未获得问答效果，将损失一层。,huskOfOpulentDreams
instructor,Instructor,教官,4,instructors_brooch,Instructor's Brooch,教官的胸花,instructors_feather_accessory,Instructor's Feather Accessory,教官的羽饰,instructors_pocket_watch,Instructor's Pocket Watch,教官的怀表,instructors_tea_cup,Instructor's Tea Cup,教官的茶杯,instructors_cap,Instructor's Cap,教官的帽子,元素精通提高80点。,触发元素反应后，队伍中所有角色的元素精通提高120点，持续8秒。,instructor
lavawalker,Lavawalker,渡过烈火的贤人,5,lavawalkers_resolution,Lavawalker's Resolution,渡火者的决绝,lavawalkers_salvation,Lavawalker's Salvation,渡火者的解脱,lavawalkers_torment,Lavawalker's Torment,渡火者的煎熬,lavawalkers_epiphany,Lavawalker's Epiphany,渡火者的醒悟,lavawalkers_wisdom,Lavawalker's Wisdom,渡火者的智慧,火元素抗性提高40%。,对处于火元素影响下的敌人造成的伤害提升35%。,lavaWalker
lucky_dog,Lucky Dog,幸运儿,3,lucky_dogs_clover,Lucky Dog's Clover,幸运儿绿花,lucky_dogs_eagle_feather,Lucky Dog's Eagle Feather,幸运儿鹰羽,lucky_dogs_hourglass,Lucky Dog's Hourglass,幸运儿沙漏,lucky_dogs_goblet,Lucky Dog's Goblet,幸运儿之杯,lucky_dogs_silver_circlet,Lucky Dog's Silver Circlet,幸运儿银冠,防御力提高100点。,拾取摩拉时，恢复300点生命值。,luckyDog
maiden_beloved,Maiden Beloved,被怜爱的少女,5,maidens_distant_love,Maiden's Distant Love,远方的少女之心,maidens_heartstricken_infatuation,Maiden's Heart-stricken Infatuation,少女飘摇的思念,maidens_passing_youth,Maiden's Passing Youth,少女苦短的良辰,maidens_fleeting_leisure,Maiden's Fleeting Leisure,少女片刻的闲暇,maidens_fading_beauty,Maiden's Fading Beauty,少女易逝的芳颜,角色造成的治疗效果提升15%。,施放元素战技或元素爆发后的10秒内，队伍中所有角色受治疗效果加成提高20%。,maidenBeloved
martial_artist,Martial Artist,武人,4,martial_artists_red_flower,Martial Artist's Red Flower,武人的红花,martial_artists_feather_accessory,Martial Artist's Feather Accessory,武人的羽饰,martial_artists_water_hourglass,Martial Artist's Water Hourglass,武人的水漏,martial_artists_wine_cup,Martial Artist's Wine Cup,武人的酒杯,martial_artists_bandana,Martial Artist's Bandana,武人的头巾,普通攻击与重击造成的伤害提高15%；,施放元素战技后的8秒内，普通攻击和重击造成的伤害提升25%。,martialArtist
noblesse_oblige,Noblesse Oblige,昔日宗室之仪,5,royal_flora,Royal Flora,宗室之花,royal_plume,Royal Plume,宗室之翎,royal_pocket_watch,Royal Pocket Watch,宗室时计,royal_silver_urn,Royal Silver Urn,宗室银瓮,royal_masque,Royal Masque,宗室面具,元素爆发造成的伤害提升20%。,施放元素爆发后，队伍中所有角色攻击力提升20%，持续12秒。该效果不可叠加。,noblesseOblige
oceanhued_clam,Ocean-Hued Clam,海染砗磲,5,seadyed_blossom,Sea-Dyed Blossom,海染之花,deep_palaces_plume,Deep Palace's Plume,渊宫之羽,cowry_of_parting,Cowry of Parting,离别之贝,pearl_cage,Pearl Cage,真珠之笼,crown_of_watatsumi,Crown of Watatsumi,海祇之冠,治疗加成提高15%。,装备此圣遗物套装的角色对队伍中的角色进行治疗时，将产生持续3秒的海染泡沫，记录治疗的生命值回复量（包括溢出值）。持续时间结束时，海染泡沫将会爆炸，对周围的敌人造成90%累计回复量的伤害（该伤害结算方式同感电、超导等元素反应，但不受元素精通、等级或反应伤害加成效果影响）。每3.5秒至多产生一个海染泡沫；海染泡沫至多记录30000点回复量，含溢出部分的治疗量；自己的队伍中同时至多存在一个海染泡沫。装备此圣遗物套装的角色处于队伍后台时，依然能触发该效果。,oceanHuedClam
pale_flame,Pale Flame,苍白之火,5,stainless_bloom,Stainless Bloom,无垢之花,wise_doctors_pinion,Wise Doctor's Pinion,贤医之羽,moment_of_cessation,Moment of Cessation,停摆之刻,surpassing_cup,Surpassing Cup,超越之盏,mocking_mask,Mocking Mask,嗤笑之面,造成的物理伤害提高25%。,元素战技命中敌人后，攻击力提升9%。该效果持续7秒，至多叠加2层，每0.3秒至多触发一次。叠满2层时，2件套的效果提升100%。,paleFlame
prayers_for_destiny,Prayers for Destiny,祭水之人,4,,,,,,,,,,,,,tiara_of_torrents,Tiara of Torrents,祭水礼冠,,,prayersForDestiny
prayers_for_illumination,Prayers for Illumination,祭火之人,4,,,,,,,,,,,,,tiara_of_flame,Tiara of Flame,祭火礼冠,,,prayersForIllumination
prayers_for_wisdom,Prayers for Wisdom,祭雷之人,4,,,,,,,,,,,,,tiara_of_thunder,Tiara of Thunder,祭雷礼冠,,,prayersForWisdom
prayers_to_springtime,Prayers to Springtime,祭冰之人,4,,,,,,,,,,,,,tiara_of_frost,Tiara of Frost,祭冰礼冠,,,prayersToSpringtime
resolution_of_sojourner,Resolution of Sojourner,行者之心,4,heart_of_comradeship,Heart of Comradeship,故人之心,feather_of_homecoming,Feather of Homecoming,归乡之羽,sundial_of_the_sojourner,Sundial of the Sojourner,逐光之石,goblet_of_the_sojourner,Goblet of the Sojourner,异国之盏,crown_of_parting,Crown of Parting,感别之冠,攻击力提高18%。,重击的暴击率提升30%。,resolutionOfSojourner
retracing_bolide,Retracing Bolide,逆飞的流星,5,summer_nights_bloom,Summer Night's Bloom,夏祭之花,summer_nights_finale,Summer Night's Finale,夏祭终末,summer_nights_moment,Summer Night's Moment,夏祭之刻,summer_nights_waterballoon,Summer Night's Waterballoon,夏祭水玉,summer_nights_mask,Summer Night's Mask,夏祭之面,护盾强效提高35%。,处于护盾庇护下时，额外获得40%普通攻击和重击伤害加成。,retracingBolide
scholar,Scholar,学士,4,scholars_bookmark,Scholar's Bookmark,学士的书签,scholars_quill_pen,Scholar's Quill Pen,学士的羽笔,scholars_clock,Scholar's Clock,学士的时钟,scholars_ink_cup,Scholar's Ink Cup,学士的墨杯,scholars_lens,Scholar's Lens,学士的镜片,元素充能效率提高20%。,获得元素微粒或元素晶球时，队伍中所有弓箭和法器角色额外恢复3点元素能量。该效果每3秒只能触发一次。,scholar
shimenawas_reminiscence,Shimenawa's Reminiscence,追忆之注连,5,entangling_bloom,Entangling Bloom,羁缠之花,shaft_of_remembrance,Shaft of Remembrance,思忆之矢,morning_dews_moment,Morning Dew's Moment,朝露之时,hopeful_heart,Hopeful Heart,祈望之心,capricious_visage,Capricious Visage,无常之面,攻击力提高18%。,施放元素战技时，如果角色的元素能量高于或等于15点，则会流失15点元素能量，使接下来的10秒内，普通攻击、重击、下落攻击造成的伤害提高50%，持续期间内该效果不会再次触发。,shimenawaReminiscence
tenacity_of_the_millelith,Tenacity of the Millelith,千岩牢固,5,flower_of_accolades,Flower of Accolades,勋绩之花,ceremonial_warplume,Ceremonial War-Plume,昭武翎羽,orichalceous_timedial,Orichalceous Time-Dial,金铜时晷,nobles_pledging_vessel,Noble's Pledging Vessel,盟誓金爵,generals_ancient_helm,General's Ancient Helm,将帅兜鍪,生命值提升20%,元素战技命中敌人后，使队伍中附近的所有角色攻击力提升20%，护盾强效提升30%，持续3秒。该效果每0.5秒至多触发一次。装备此圣遗物套装的角色处于队伍后台时，依然能触发该效果。,tenacityOfTheMillelith
the_exile,The Exile,流放者,4,exiles_flower,Exile's Flower,流放者之花,exiles_feather,Exile's Feather,流放者之羽,exiles_pocket_watch,Exile's Pocket Watch,流放者怀表,exiles_goblet,Exile's Goblet,流放者之杯,exiles_circlet,Exile's Circlet,流放者头冠,元素充能效率提高20%。,施放元素爆发后，每2秒为队伍中所有角色（不包括自己）恢复2点元素能量。该效果持续6秒，无法叠加。,exile
thundering_fury,Thundering Fury,如雷的盛怒,5,thunderbirds_mercy,Thunderbird's Mercy,雷鸟的怜悯,survivor_of_catastrophe,Survivor of Catastrophe,雷灾的孑遗,hourglass_of_thunder,Hourglass of Thunder,雷霆的时计,omen_of_thunderstorm,Omen of Thunderstorm,降雷的凶兆,thunder_summoners_crown,Thunder Summoner's Crown,唤雷的头冠,获得15%雷元素伤害加成。,超载、感电、超导、超绽放反应造成的伤害提升40%，超激化反应带来的伤害提升提高20%。触发上述元素反应或原激化反应时，元素战技冷却时间减少1秒。该效果每0.8秒最多触发一次。,thunderingFury
thundersoother,Thundersoother,平息鸣雷的尊者,5,thundersoothers_heart,Thundersoother's Heart,平雷之心,thundersoothers_plume,Thundersoother's Plume,平雷之羽,hour_of_soothing_thunder,Hour of Soothing Thunder,平雷之刻,thundersoothers_goblet,Thundersoother's Goblet,平雷之器,thundersoothers_diadem,Thundersoother's Diadem,平雷之冠,雷元素抗性提高40%。,对处于雷元素影响下的敌人造成的伤害提升35%。,thunderSmoother
tiny_miracle,Tiny Miracle,奇迹,4,tiny_miracles_flower,Tiny Miracle's Flower,奇迹之花,tiny_miracles_feather,Tiny Miracle's Feather,奇迹之羽,tiny_miracles_hourglass,Tiny Miracle's Hourglass,奇迹之沙,tiny_miracles_goblet,Tiny Miracle's Goblet,奇迹之杯,tiny_miracles_earrings,Tiny Miracle's Earrings,奇迹耳坠,所有元素抗性提高20%。,受到某个元素类型的伤害后，相应的抗性提升30%，持续10秒。该效果每10秒只能触发一次。,tinyMiracle
traveling_doctor,Traveling Doctor,游医,3,traveling_doctors_silver_lotus,Traveling Doctor's Silver Lotus,游医的银莲,traveling_doctors_owl_feather,Traveling Doctor's Owl Feather,游医的枭羽,traveling_doctors_pocket_watch,Traveling Doctor's Pocket Watch,游医的怀钟,traveling_doctors_medicine_pot,Traveling Doctor's Medicine Pot,游医的药壶,traveling_doctors_handkerchief,Traveling Doctor's Handkerchief,游医的方巾,角色受到的治疗效果提高20%。,施放元素爆发时，恢复20%生命值。,travelingDoctor
vermillion_hereafter,Vermillion Hereafter,辰砂往生录,5,flowering_life,Flowering Life,生灵之华,feather_of_nascent_light,Feather of Nascent Light,潜光片羽,solar_relic,Solar Relic,阳辔之遗,moment_of_the_pact,Moment of the Pact,结契之刻,thundering_poise,Thundering Poise,虺雷之姿,攻击力提高18%。,施放元素爆发后，将产生持续16秒的「潜光」效果：攻击力提升8%；并在角色的生命值降低时，攻击力进一步提升10%，至多通过这种方式提升4次，每0.8秒至多触发一次。「潜光」效果将在角色退场时消失；持续期间再次施放元素爆发，将移除原有的「潜光」。,VermillionHereafter
viridescent_venerer,Viridescent Venerer,翠绿之影,5,in_remembrance_of_viridescent_fields,In Remembrance of Viridescent Fields,野花记忆的绿野,viridescent_arrow_feather,Viridescent Arrow Feather,猎人青翠的箭羽,viridescent_venerers_determination,Viridescent Venerer's Determination,翠绿猎人的笃定,viridescent_venerers_vessel,Viridescent Venerer's Vessel,翠绿猎人的容器,viridescent_venerers_diadem,Viridescent Venerer's Diadem,翠绿的猎人之冠,获得15%风元素伤害加成。,扩散反应造成的伤害提升60%。根据扩散的元素类型，降低受到影响的敌人40%的对应元素抗性，持续10秒。,viridescentVenerer
wanderers_troupe,Wanderer's Troupe,流浪大地的乐团,5,troupes_dawnlight,Troupe's Dawnlight,乐团的晨光,bards_arrow_feather,Bard's Arrow Feather,琴师的箭羽,concerts_final_hour,Concert's Final Hour,终幕的时计,wanderers_stringkettle,Wanderer's String-Kettle,吟游者之壶,conductors_top_hat,Conductor's Top Hat,指挥的礼帽,元素精通提高80点。,装备该圣遗物套装的角色为法器、弓箭角色时，角色重击造成的伤害提高35%。,wandererTroupe
